Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1682584,0.0616636,18.9103867,0.0039331,1.1848988,5.8495532,1.2729138999999998
0.3,0.2599742,0.0630423,19.0244862,0.0037344,1.2508239,5.8533161,1.2199179
0.5,0.2764695,0.0619916,18.8843604,0.0046585,1.7611993000000001,6.2280587999999995,1.7284351
0.7,0.3927661,0.0626416,19.3116418,0.0035669,2.4486097,6.9904455,2.4057191
0.9,0.345613,0.0641133,19.5613402,0.0041315,1.5828041,6.266803299999999,1.4357820000000001
1.1,0.4123964,0.0624884,19.2222249,0.0036386,1.8144035,6.6518395,1.7984972
1.3,0.3590199,0.0629897,19.2692025,0.004132,2.5230287000000002,7.0327968,2.5775501000000003
1.5,0.4310672,0.0621192,19.7258383,0.0046733,2.5338805,7.2049484,2.4731843000000002
1.7,0.2912554,0.0636846,19.8173883,0.0041202,1.7542808,6.665259,1.6878096
1.9,0.4261691,0.0639515,19.7919677,0.0039107,1.8526685999999999,6.6973668,1.8102627
