Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.5153778,0.0547812,20.4953612,0.0080073,1.5511898000000002,2.9682228,1.6014430000000002
0.3,0.7626026,0.037203,22.0934906,0.0045914,1.465734,3.2390518999999998,1.2324620000000002
0.5,0.7232627,0.0349207,21.3723811,0.0077515,1.3768561,2.7917064,1.0182153999999999
0.7,0.650845,0.0335611,21.6660531,0.0041841,1.1934535,2.7460258,0.9510512
0.9,0.7782498,0.0348492,21.2692801,0.0022424,1.0090354,2.854141,1.233153
1.1,0.8734728,0.0351744,21.1610495,0.0040537,1.2745381,2.8340964,0.9693628000000001
1.3,0.9409478,0.0415716,21.5899904,0.0056273,1.1100600999999999,3.0320516,1.0287049
1.5,0.5343272,0.0345781,16.4758531,0.0022317,0.7761543,2.2104229,0.7312225000000001
