Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,1.0142479,0.4489243,22.912528,0.0047409,1.4987224000000001,9.9026731,1.2308957
0.3,0.9502376,0.4611523,25.3541056,0.0045684,1.6254104,10.1930177,1.3881508
0.5,0.8358897,0.5126671,25.9400351,0.0060952,1.8239407,11.1469532,1.7050695
0.7,0.9862148,0.4742264,24.5307661,0.0048517,1.4488159999999999,10.6847417,1.3878142
0.9,0.9918174,0.492582,25.1943024,0.0046694,1.7486730000000001,11.091697400000001,1.448371
1.1,1.2947633,0.50722,25.2221951,0.0050404,1.6772637,11.0291959,1.3314718
1.3,1.0343586,0.4728689,25.6170482,0.0045526,1.7074791,11.4015848,1.3439163
1.5,1.0411623,0.4975463,25.5427619,0.00477,2.4140476,11.7080576,2.3335331
1.7,0.9109376,0.4694473,25.2470813,0.0045079,2.052806,11.091210700000001,1.9639888
1.9,0.9766925,0.4603509,23.8055905,0.0048242,1.3967718,10.5927922,1.112772
