Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.6882723,0.2556714,19.7203294,0.0048666,1.2012165000000001,6.0070521999999995,1.0130814
0.3,0.8604487,0.2546497,19.8479587,0.0039002,0.8587499,5.7927067,0.6703703
0.5,0.6471508,0.264646,20.0810133,0.0035666,1.0481265,6.0104011999999996,1.0422721
0.7,0.6500556,0.2690488,19.9337359,0.0047168,0.9249586,6.0048601,0.7286809999999999
0.9,0.7116387,0.2561197,19.7452148,0.0040675,0.7546397,5.8648651,0.40109320000000004
1.1,0.7456701,0.2646246,19.6655819,0.0037667,1.1288524,6.1685162,1.0686426999999998
1.3,0.7495647,0.2646405,19.7105875,0.0038442,1.5227071,6.347952299999999,1.346556
1.5,0.8567462,0.2625487,19.9359247,0.004005,0.8285108000000001,5.9446651,0.6309276
1.7,0.6299166,0.2690285,20.1024253,0.0041604,1.3395959,6.2801918,1.1679992000000001
1.9,0.6681294,0.2579002,19.9122538,0.0044468,0.5799877,5.9563745,0.5352941
