Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0723839,0.0146361,19.4528957,0.0041974,3.0146993,7.0020149,3.2963589
0.3,0.0741483,0.0146954,19.4755319,0.0041668,3.2138649,7.3024566,3.4021559
0.5,0.0664581,0.0145078,20.4128667,0.0044133,4.020663399999999,7.8413444,4.025757499999999
0.7,0.0893501,0.0145653,19.463158,0.0043402,3.4379561,7.5582067,3.4405934
0.9,0.0999568,0.0147283,19.3369497,0.0039412,4.4829469,8.280298,4.4638979
1.1,0.1286314,0.0147835,19.4963511,0.0044953,4.4633573,8.5183619,4.5928117
1.3,0.1654616,0.0157647,19.3168665,0.0040008,4.8835051,8.6914509,4.8324621
1.5,0.1383464,0.0153996,19.4070172,0.0044543,5.1266092,9.0185227,5.239228300000001
1.7,0.1298121,0.015132,19.4968746,0.0041052,5.6850771,9.233476399999999,5.614934900000001
1.9,0.1482031,0.0147158,19.5820159,0.0040344,3.7998635999999997,7.9286408,3.9375809
