Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0139005,0.0221089,0.0823249,0.0002322,0.0434191,0.047072100000000006,0.0327509
0.3,0.0151991,0.024907,0.0815806,0.0002104,0.0473717,0.049984100000000004,0.0359564
0.5,0.0157118,0.0207867,0.103372,0.0002118,0.0467683,0.049102400000000004,0.034569300000000004
0.7,0.0131773,0.0215811,0.0952751,0.0002147,0.046445799999999995,0.049522,0.0353777
0.9,0.0154772,0.0218617,0.0957666,0.0002146,0.0462482,0.049186099999999996,0.0340694
1.1,0.0167583,0.0254807,0.0925295,0.0002704,0.050836099999999995,0.0519071,0.0392908
1.3,0.0152274,0.0217163,0.1011898,0.0002163,0.0466914,0.0498888,0.0355168
1.5,0.0135433,0.0220099,0.0951643,0.00021,0.046237799999999996,0.0494443,0.0354766
1.7,0.0153325,0.0214721,0.0916049,0.0002157,0.045336600000000005,0.0490323,0.0330317
1.9,0.0157206,0.0208741,0.1055466,0.0002597,0.0453072,0.051548,0.0375115
