Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.6323775,0.157145,17.8240153,0.0030975,0.8668508,3.6544684,0.781031
0.3,0.7683123,0.1465224,17.6445483,0.0036512,0.767984,3.4097223,0.6674100000000001
0.5,0.9393155,0.1463442,17.4535251,0.0035094,0.9189706000000001,3.6332526,1.0027709
0.7,0.810282,0.1445545,17.5925841,0.0037053,0.6990588,3.4668893,0.6045951
0.9,1.1987702,0.1461397,17.7733434,0.0034641,0.9493822,3.6580515,0.8573814
1.1,0.9522901,0.1459616,17.4968315,0.0034057,0.595255,4.0349953,0.48117319999999997
1.3,0.9214218,0.1453992,17.4508515,0.0036769,0.5926833,3.4351399,0.4678384
1.5,0.8822863,0.1497001,17.8550416,0.0033923,0.5483061,3.4672001,0.4472715
1.7,0.7486251,0.1425479,17.8767823,0.0033151,0.880933,3.7187636,0.7516966
1.9,1.0293251,0.1509454,17.7386522,0.0033713,0.5959255999999999,3.4661717999999997,0.4466599
