Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1499397,0.0116658,17.9921098,0.0044704,2.9283072,5.2152084,3.0241838999999997
0.3,0.0906624,0.0084191,17.904316,0.0045317,3.1910098999999996,5.4184837,3.1757525999999996
0.5,0.1148285,0.0082507,18.115673,0.0037712,4.033833,6.199655699999999,4.0424561
0.7,0.1694001,0.0088701,18.5224994,0.0035329,4.6285136,6.8769939,4.9540959
0.9,0.1689358,0.0126593,18.3320105,0.003707,4.2050065000000005,6.349835000000001,4.3497477
1.1,0.1530817,0.0088665,18.2068839,0.0042326,4.9415356,6.9069951,5.0136909
1.3,0.1480899,0.0081724,18.8462054,0.0037396,2.6984578999999997,5.3954952,2.5932225
1.5,0.1739389,0.0103502,18.0343799,0.0035425,2.2554882,4.8779963,2.3676288
1.7,0.1599861,0.0087188,17.8145428,0.0038979,3.6299801,6.0027852,3.6351295
1.9,0.1867984,0.0121289,18.1318529,0.0036772,5.970637300000001,8.1156606,6.1299747
