Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.008581,0.0071738,0.1375186,0.0003296,0.0127417,0.0312915,0.010050400000000001
0.3,0.0091661,0.0076006,0.1351297,0.0003604,0.013880199999999999,0.031299,0.0094112
0.5,0.0108324,0.0071308,0.1403921,0.0002917,0.0127224,0.0349217,0.0101982
0.7,0.012558,0.0069378,0.1557689,0.000273,0.0122284,0.0323982,0.0087397
0.9,0.0121692,0.007397,0.1310996,0.0002522,0.015553500000000001,0.0311374,0.009027799999999999
1.1,0.0094296,0.0071812,0.1346877,0.0002706,0.0147337,0.0327459,0.0088412
1.3,0.0100506,0.0067487,0.1329419,0.0002738,0.0119902,0.0311947,0.009575
1.5,0.0109017,0.0067397,0.14441,0.0002791,0.013629100000000002,0.0319715,0.008387
1.7,0.0098204,0.0064024,0.1537018,0.0003653,0.0115265,0.0323543,0.0078536
1.9,0.0107856,0.0067146,0.1516045,0.000294,0.0119555,0.0335415,0.008198200000000001
