Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0710467,0.0620241,32.6683069,0.0068969,5.318332000000001,19.917268,5.4041183
0.3,0.0838985,0.0609022,32.2393745,0.0060419,5.9299943,20.5227349,6.035842
0.5,0.0751328,0.0609358,34.0154267,0.0068587,5.820012,20.5529099,5.7775071
0.7,0.1176211,0.0714466,33.3970691,0.0073896,5.2740645,20.9860061,5.358260899999999
0.9,0.1157914,0.0640204,33.0121892,0.0061378,6.4893073,21.4244477,6.591700100000001
1.1,0.0880903,0.0640672,33.6483956,0.0069927,6.6698065,21.4595817,6.456758300000001
1.3,0.1455353,0.0648688,33.2726724,0.0068796,8.8936639,22.4708996,8.6872411
1.5,0.1782271,0.0684027,33.3878026,0.0068774,8.9882888,22.5520812,8.9578833
