Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.2413557,0.0172337,18.055454,0.0026475,1.943377,3.1016763,1.9536415
0.3,0.3171559,0.0168649,17.5081655,0.0028499,1.7472397000000002,2.9449560999999997,1.6874247
0.5,0.2690022,0.0165341,17.7574909,0.002754,1.4445781000000002,2.8867819,1.6442624000000001
0.7,0.3896207,0.02304,17.6297233,0.0025315,1.5989469,2.8650572,1.4322818
0.9,0.3673328,0.0175707,18.2656278,0.0050761,1.5534663,2.8982535,1.6745742000000001
1.1,0.478119,0.0236922,23.3143113,0.0037578,2.4075199,4.24037,2.3410293
1.3,0.437236,0.0171791,22.1197765,0.006345,2.8599433,4.7049157,3.0294285
1.5,0.3698488,0.0168093,17.7803894,0.0028945,1.7675093,3.1038048,1.765973
