Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.080147,0.0040786,17.0519378,0.002736,2.8412710000000003,3.9758850000000003,2.7596426000000003
0.3,0.087283,0.0045402,16.6350682,0.002585,2.8569367,4.0358898000000005,3.018559
0.5,0.0685205,0.0041271,16.3176734,0.0027216,2.9936165,4.1423030999999995,3.1294766999999997
0.7,0.1104801,0.0046273,16.0978513,0.0025857,4.04269,5.0281322,4.0338637
0.9,0.1229906,0.0042658,17.9928325,0.0025985,2.2514058,3.6029951000000002,2.6496570000000004
1.1,0.1309517,0.0042602,16.7814652,0.0026494,3.7706988,4.9780918,3.9442476
1.3,0.1184662,0.0042713,16.9855709,0.0025687,4.7436184,5.9577274000000005,4.9538442
1.5,0.1236538,0.006613,16.6795189,0.0032704,4.8616380999999995,5.7813853,4.934488
1.7,0.1152511,0.0043721,16.551457,0.0026991,3.6289617,4.9387680000000005,3.8040751
1.9,0.1226342,0.0042915,16.8627312,0.0026368,3.3280732,4.5906866,3.4959862999999998
