Sigma,Gamma_Overlap,KMeans_ARI,KMeans_NMI,KC_ARI,KC_NMI,MST_ARI,MST_NMI,Naive_ARI,Naive_NMI,MFC_Approx_ARI,MFC_Approx_NMI,MFC_Optimal_ARI,MFC_Optimal_NMI,MFC_Simple_ARI,MFC_Simple_NMI
0.1,1.6977673295531217,0.38577974387872055,0.7523795776783223,0.15367805169862417,0.586296014194816,0.3505185443733157,0.6527437169056841,0.0002785516159190353,0.5015449893272108,0.3344513297906497,0.6580336978057625,0.3498752264033957,0.652076937445699,0.32905644451952365,0.6621116709408432
0.3,1.8762491606722704,0.356088954324346,0.7072892832559688,0.16619934496934846,0.564952133478931,0.2990930845208269,0.6378678570502577,0.00029776555769964966,0.2954092026589197,0.28991505244998067,0.6443300932212174,0.3048624303666787,0.6396621902678177,0.28065507038348025,0.6420317019759696
0.5,1.8556599210205893,0.29612434544765914,0.6625380944526846,0.12554016315480016,0.5231752249059892,0.22063410151309942,0.6212832368903541,0.00039693582713747587,0.15925010183966698,0.25751020319772117,0.6318564482007106,0.2511823232353905,0.6281946977802454,0.25298536126745813,0.6307282415942216
0.7,2.0193744486902534,0.2526915172343773,0.6162912440555565,0.0939785576175188,0.48112685079954104,0.1797240594487717,0.6090699284241571,0.0002722155646530238,0.3679602762866965,0.19309960334821805,0.6150658769002425,0.1950016379467422,0.6157508824251989,0.22084841603550354,0.6210710857657723
0.9,1.845554802753132,0.23514223854956928,0.5857565135857237,0.07120164808463778,0.45638839088146327,0.16688729640680763,0.6044011786490033,0.00030150813713196233,0.2059805637296426,0.16084372402377584,0.6101930524372634,0.16045031678869703,0.6044749267427414,0.14756838060434613,0.608035333174945
1.1,2.3304276781831192,0.19032051046003542,0.545830756384774,0.08377872581771793,0.4213763268961581,0.0923372223538127,0.5963004733011442,0.00025789773749368124,0.4884021355784759,0.11479757758181768,0.5876622834964373,0.13194640006383876,0.5966138071975493,0.11908662694451955,0.5818095054933392
1.3,1.881290098560835,0.17281863733718958,0.5282116140208456,0.05895567385831514,0.4059005364827713,0.08800375275793446,0.5860357229591808,0.0002689522142575064,0.4536283862335291,0.09711675985206925,0.5827617614678952,0.08703941488245698,0.5925059430184901,0.09747917478106383,0.5831857762222316
1.5,3.4015322772391445,0.1542183644338352,0.4991275843821727,0.08014865541035032,0.3828592928057148,0.07911644131590807,0.5846543243614845,0.00032883657495256423,0.27629392995646584,0.07861880153293645,0.5815270382601514,0.07366766767291712,0.5777223284852974,0.09935929453942786,0.4718555879127529
1.7,1.6406704127751535,0.14842340712918717,0.47778206043493615,0.0280625850635265,0.35206767659031146,0.0625175803839278,0.5802893850971262,0.0003917183921011504,0.34533191818879433,0.06198625685502728,0.5744309245712276,0.06312694620749967,0.5744948158420676,0.06184685829460478,0.5744616535323217
1.9,2.1540005443018133,0.1318067860379417,0.45600795913431846,0.044701233162805484,0.3554925355197708,0.05861682268330322,0.5758342198089039,0.00027662469088390445,0.21704885304093996,0.061613212341467424,0.5648027411961154,0.057316497397580615,0.5695975576605222,0.0644362749637262,0.5610034159783741
