Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1226164,0.0119167,17.6138604,0.0029405,2.1940723,3.2730572,2.1203088
0.3,0.1840902,0.0089802,17.5624881,0.0027897,2.3846532,3.5922033,2.4245156999999997
0.5,0.182206,0.0081542,16.5311417,0.0027238,3.0593509,4.1129286,3.2713502
0.7,0.1901452,0.008603,16.620689,0.0025875,2.1393597,3.300095,2.3487747999999997
0.9,0.173706,0.008464,16.6888206,0.0024602,2.5009009,3.6683785,2.6233484000000002
1.1,0.1303711,0.0092327,16.5112003,0.0027988,1.620211,2.8836838,1.7543263
1.3,0.1973547,0.0088765,16.5253167,0.0026864,2.0738686,3.3642871,2.2023498999999997
1.5,0.1813149,0.0084284,18.1295309,0.0029009,2.6685759,3.6677652000000003,2.638338
