Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.2272858,0.1139669,23.5968469,0.0043921,2.390255,10.2183295,2.4544297999999998
0.3,0.3287242,0.1153742,23.6393042,0.0045498,1.8924318,10.105081,1.9194777
0.5,0.4367319,0.11883,23.496496,0.0046437,2.3523893,10.678895800000001,2.2620759
0.7,0.4608918,0.1170346,23.6035069,0.0045607,2.3941730000000003,10.7870319,2.2627223
0.9,0.3474944,0.1300177,23.7241082,0.0049229,3.5620645,11.5671175,3.4376428
1.1,0.3084614,0.1121759,22.7935571,0.0041789,2.0043522,10.4760275,1.9332312
1.3,0.3968685,0.1117107,22.7973503,0.0051433,3.4916194000000003,11.2509085,3.4244661
1.5,0.4055426,0.1132342,22.8794269,0.0051057,1.0937158,10.2033494,1.1744313
1.7,0.302956,0.1114395,22.8267322,0.0046831,7.043220300000001,13.3654424,6.808167
1.9,0.5713273,0.1120324,22.9739089,0.0049001,3.5119525,11.4317299,3.4268963
