Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0091941,0.0042564,0.1390376,0.0002964,0.0110706,0.0336315,0.0090125
0.3,0.0094389,0.0036764,0.1374178,0.0002842,0.0165727,0.0361368,0.011248399999999999
0.5,0.0074593,0.0034907,0.1497672,0.0002717,0.014896,0.0336859,0.0119359
0.7,0.00997,0.0038308,0.1354619,0.0002723,0.010137,0.0353226,0.0079305
0.9,0.0129392,0.0036089,0.1442035,0.0002709,0.0184495,0.036423,0.0138284
1.1,0.0162531,0.0040973,0.1497742,0.0003633,0.016085000000000002,0.0366834,0.0089397
1.3,0.0091342,0.0032075,0.1608618,0.0002765,0.0090957,0.0372909,0.0070998
1.5,0.0111669,0.0032328,0.1427152,0.0003083,0.0080948,0.033717699999999996,0.0056232999999999995
1.7,0.0180733,0.0041039,0.139532,0.0002929,0.0091777,0.0317256,0.0079162
1.9,0.0118841,0.0033502,0.146212,0.0002809,0.0151837,0.0397164,0.0096493
