Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.2012544,0.0188157,16.5256823,0.002692,1.7882778,2.9644607,1.9573382
0.3,0.3347499,0.0173652,16.7420384,0.0041178,1.8054959,3.0097712,1.9495843
0.5,0.3452595,0.0173163,16.7080128,0.0022094,1.8113515,3.1515829,1.925113
0.7,0.342571,0.0176601,17.0466436,0.0026568,1.3983715,2.6814814,1.3859893
0.9,0.3511613,0.0168744,16.5391449,0.0038773,1.8972849,3.1471332,1.8739211
1.1,0.2714793,0.0169252,16.8355706,0.0026121,1.7501127,2.9897530000000003,1.7051508
1.3,0.4022056,0.019087,16.8295269,0.0027711,1.8384662,3.0575083,1.8432516
1.5,0.3698884,0.0173336,16.7341197,0.0029603,1.7883175,3.1624778,1.8958895
1.7,0.3738318,0.0184246,16.8469173,0.0029991,1.4083687999999999,2.6761985,1.371869
1.9,0.4115253,0.0173259,16.6909982,0.0030384,1.7281418,2.9768844999999997,1.707766
