Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0128733,0.0063852,0.1095168,0.0001906,0.0138239,0.0208345,0.0092894
0.3,0.0160825,0.006335,0.1096689,0.0002831,0.0136746,0.0199749,0.0089739
0.5,0.0119385,0.0081071,0.1136373,0.0001913,0.0159623,0.0236052,0.010899500000000001
0.7,0.0158997,0.0065614,0.1113441,0.0001939,0.0163382,0.0193138,0.0091398
0.9,0.0138915,0.0069486,0.1080767,0.0001656,0.015245600000000002,0.0199217,0.0094915
1.1,0.0114069,0.0064234,0.1082724,0.0001993,0.0132902,0.0213897,0.0091228
1.3,0.0123708,0.0062977,0.1052415,0.0001901,0.0137481,0.019388799999999998,0.010110899999999999
1.5,0.0154079,0.0067387,0.1244386,0.0002906,0.0135253,0.0217679,0.0092435
1.7,0.0159272,0.0062963,0.1088739,0.0001955,0.013644,0.0195169,0.0090833
1.9,0.0149948,0.0072098,0.1041124,0.0002029,0.0145557,0.0211732,0.009674
