Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1275266,0.0579749,22.9523061,0.0045086,2.5506437,8.6444478,2.5021467
0.3,0.1531274,0.0556286,22.8833407,0.0046115,2.4318114,8.230826,2.550423
0.5,0.1621873,0.0549183,23.0871227,0.0046981,2.7086683000000003,8.7496469,2.8469330000000004
0.7,0.1634792,0.0547043,23.1404824,0.0047102,3.0014341,9.102759599999999,2.9862995
0.9,0.1640559,0.054994,23.4072084,0.0046121,2.8623819000000004,9.0810382,2.8506628000000003
1.1,0.1894547,0.0549588,23.0393708,0.0046118,4.4146531,10.7498969,4.3912648
1.3,0.1483587,0.0570142,23.0187698,0.0048925,3.5919241,10.1427173,3.8759183
1.5,0.1930645,0.0570709,23.3529131,0.0041282,3.1588974,9.4832618,3.3009630999999997
