Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1922757,0.114335,22.7413275,0.0047299,2.1440817,8.3437707,2.0711991
0.3,0.236726,0.1105903,22.7113082,0.0045034,2.5801647,8.8692286,2.521339
0.5,0.3717844,0.1124043,22.9974688,0.0046448,3.1083398,9.188086799999999,3.3548104000000003
0.7,0.4989359,0.1126825,23.0785452,0.0048177,2.8316337,8.8583567,2.8172926
0.9,0.3016465,0.1124884,23.0228816,0.0040949,3.2764216,9.0873522,3.2382729
1.1,0.473181,0.1132659,22.9061596,0.0040954,1.4704203,6.8014892,1.2781173000000001
1.3,0.410017,0.1112471,23.4755721,0.0046216,2.1707329,7.8820743,1.9637447
1.5,0.3762624,0.1122991,22.8919504,0.0039492,4.147301700000001,10.4308342,4.0676964
