Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0122377,0.01343,0.1437327,0.000258,0.025160000000000002,0.0373981,0.0166018
0.3,0.0130855,0.0123826,0.1257042,0.0002468,0.0221294,0.0363155,0.0154488
0.5,0.0143463,0.0135751,0.1489868,0.0002511,0.023467000000000002,0.0413206,0.016649999999999998
0.7,0.0119869,0.0122642,0.115349,0.0002584,0.0220519,0.0347794,0.016258099999999998
0.9,0.012443,0.0124808,0.1370734,0.0003072,0.0224107,0.0367015,0.0151676
1.1,0.0152533,0.0127285,0.1216224,0.0002431,0.0226891,0.0355583,0.015598
1.3,0.0126951,0.0126929,0.1145804,0.0002495,0.023997900000000003,0.0355127,0.0154267
1.5,0.0139075,0.0123015,0.1230281,0.0002613,0.0235216,0.0347257,0.0152909
1.7,0.0138613,0.0129961,0.1187464,0.0002637,0.024258599999999998,0.0361215,0.0158525
1.9,0.0124534,0.0151811,0.1178784,0.0002485,0.0249278,0.038799799999999995,0.017813
