Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0194344,0.0219253,0.0809799,0.00022,0.0434649,0.0480762,0.0324004
0.3,0.019005,0.0209377,0.082352,0.0002157,0.0428253,0.045065999999999995,0.0319942
0.5,0.0183062,0.0212417,0.0826061,0.0002213,0.0427351,0.0477043,0.031344
0.7,0.015881,0.0210802,0.0830487,0.0002134,0.043585200000000004,0.0459651,0.031049800000000002
0.9,0.0170269,0.021024,0.0815846,0.0001978,0.04382,0.04659,0.032370800000000005
1.1,0.0183646,0.0216824,0.0794451,0.0002081,0.0441191,0.045786400000000005,0.0328429
1.3,0.0166179,0.0218132,0.0798335,0.000217,0.0440781,0.0468693,0.0320138
1.5,0.0180996,0.0206328,0.0812889,0.0002181,0.043161000000000005,0.0461481,0.0314633
1.7,0.0171487,0.0206636,0.082483,0.0002128,0.0426701,0.0457428,0.0310663
1.9,0.016913,0.0211297,0.0808819,0.0002188,0.0439622,0.045641799999999996,0.0328358
