Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0037883,0.0009754,0.1395252,0.0003274,0.0257916,0.0411782,0.0223735
0.3,0.0021462,0.0008131,0.1496666,0.0003436,0.0272036,0.054907899999999996,0.0266124
0.5,0.0068413,0.0008206,0.1407812,0.0002662,0.0267018,0.0422218,0.0226358
0.7,0.0034688,0.0009182,0.2795912,0.0003653,0.0329712,0.0497758,0.0483438
0.9,0.0036186,0.0008079,0.142262,0.0002779,0.0274229,0.0479742,0.0273444
1.1,0.0030344,0.0008031,0.1593081,0.0003823,0.0234513,0.0402884,0.0193935
1.3,0.0039965,0.000832,0.2936,0.0002859,0.0332684,0.053092,0.0307813
1.5,0.0032345,0.000811,0.3105169,0.00031,0.0335011,0.0501234,0.0299033
1.7,0.0033386,0.0008528,0.1448782,0.000302,0.0107749,0.0354555,0.010158100000000002
1.9,0.0054029,0.0008202,0.161676,0.0002864,0.0190281,0.04008,0.0220161
