Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.3114206,0.0212036,16.7939105,0.0026522,1.8187303,2.3586347,1.6995083
0.3,0.3222003,0.0198029,16.6896514,0.0026185,1.6014241,1.967702,1.6275266
0.5,0.3824132,0.0170597,16.9537742,0.0027129,1.6982506,2.2892939,1.4495292999999998
0.7,0.2962627,0.0174662,16.4312412,0.0027179,1.6661110000000001,2.2371863,1.6361875000000001
0.9,0.4222223,0.0199293,17.3390345,0.0027792,2.2210362,2.899606,2.3852632
1.1,0.4013512,0.0186976,17.1948832,0.0025595,1.7995845000000001,2.377677,1.9340265
1.3,0.3800344,0.0173482,17.4489558,0.0026972,1.6455695000000001,2.288751,1.6364668
1.5,0.4194742,0.0173159,16.7699971,0.0026397,2.1310803999999997,2.8220411999999997,2.1488867999999997
