Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.3797297,0.0364495,17.7471534,0.0034401,1.4600111,3.2032157999999997,1.4333925
0.3,0.3687591,0.0330006,17.2292897,0.0036334,1.4918206,3.1148271999999997,1.316918
0.5,0.3416319,0.0338448,17.6740734,0.0035657,1.2556409,3.0589060999999997,1.2358848
0.7,0.4337672,0.0441591,17.2794952,0.0037866,0.8994795,2.2181767999999997,0.7170977000000001
0.9,0.4546954,0.0347116,17.5286498,0.0037156,0.8745389,2.6797373,0.8385632
1.1,0.5047279,0.0341915,17.7761488,0.0037054,2.2812524,4.3426719,2.2268711
1.3,0.4730282,0.0342601,17.9429653,0.0039135,1.0261268,2.7334157,0.9697391
1.5,0.4742067,0.0365742,17.5011655,0.0034415,2.0184550999999997,3.9900657,1.9511763
