Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0041896,0.0010118,0.1320115,0.0002309,0.0055173,0.0179042,0.0055956
0.3,0.0025517,0.000761,0.1439998,0.0002213,0.0048284,0.0160241,0.004790900000000001
0.5,0.0042808,0.0007886,0.1347484,0.0002178,0.0078472,0.0163681,0.0045639
0.7,0.0029852,0.0009908,0.1290444,0.0002241,0.0072665,0.0158509,0.0051579
0.9,0.0038205,0.0007851,0.1366639,0.0003105,0.0076723,0.0158229,0.005541600000000001
1.1,0.0036518,0.0007881,0.1269962,0.0002103,0.0072964,0.0164134,0.0044763
1.3,0.0036526,0.0007905,0.1283352,0.0002112,0.00707,0.0161988,0.0044753
1.5,0.0045187,0.0008085,0.1538299,0.0003456,0.004916,0.0178103,0.0042117
1.7,0.0026815,0.0008006,0.142046,0.0002423,0.0061508000000000005,0.0159387,0.0046422
1.9,0.0055092,0.0007853,0.14463,0.0003191,0.0059348000000000005,0.0154887,0.004621
