Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0149454,0.0077491,0.1307398,0.0002943,0.0155904,0.0370716,0.012355
0.3,0.0134109,0.0070568,0.1312752,0.00027,0.015101100000000001,0.0346534,0.0100309
0.5,0.016151,0.0079089,0.1444454,0.0002831,0.0154495,0.0366104,0.0105463
0.7,0.0188743,0.0074385,0.1299346,0.0002741,0.014032099999999999,0.0341533,0.0115507
0.9,0.0150896,0.007175,0.1310523,0.0002745,0.0149404,0.0348251,0.0107457
1.1,0.0141379,0.0076235,0.1451145,0.0002876,0.0137161,0.0333078,0.0104314
1.3,0.0129438,0.0077148,0.1293228,0.0003012,0.016616,0.0332733,0.009441
1.5,0.0171629,0.0064079,0.13765,0.0003151,0.012242300000000001,0.0318174,0.0081119
1.7,0.0179648,0.0072252,0.1327335,0.0002818,0.0129816,0.0321836,0.010985700000000001
1.9,0.0119786,0.0073525,0.1507361,0.000311,0.01427,0.0345131,0.0101042
