Sigma,Gamma_Overlap,KMeans_ARI,KMeans_NMI,KC_ARI,KC_NMI,MST_ARI,MST_NMI,Naive_ARI,Naive_NMI,MFC_Approx_ARI,MFC_Approx_NMI,MFC_Optimal_ARI,MFC_Optimal_NMI,MFC_Simple_ARI,MFC_Simple_NMI
0.1,1.3185493510204607,0.3055281316928726,0.6127539878612963,0.21336885763815996,0.5563777817616292,0.271904712045923,0.6434640173666967,0.003812354510907183,0.3978575723944921,0.2662084934685297,0.6421593078045593,0.2691432551803108,0.6426175906260823,0.2617137820311967,0.6283136241122707
0.3,1.4343660065431008,0.23103503257467042,0.5322434142356004,0.1569862097430455,0.4756479033078573,0.2025572230956072,0.6091652511456731,0.0025045581849664042,0.5810817541688955,0.20700241487125595,0.5969388055836589,0.19866476420737125,0.5921570887410917,0.17489099108405945,0.5856759204905677
0.5,1.3664869333043048,0.16552310495741665,0.4754019026565816,0.14940688636116672,0.4495881999156436,0.15293659431538573,0.5769693196663654,0.002589221649081275,0.3999358135074901,0.15575127086664217,0.5335925421621587,0.1434788213017495,0.5817501151249844,0.15614098707234078,0.45869761927742564
0.7,1.3826505162680054,0.12326478796546622,0.4275153493058749,0.13587188706203898,0.4242579020137009,0.12159655244707197,0.5623740147766242,0.002496278306896301,0.47301665969540785,0.12953329051959778,0.5357206226951553,0.13717452436243655,0.5356900230531874,0.1449988454074286,0.4341302148847843
0.9,1.3608508507238963,0.10222034649345384,0.38984507656400175,0.10726488595143745,0.38473758499894206,0.08237829025393718,0.5293878979170243,0.002441369593628642,0.5539360013224148,0.1080280848235546,0.5232718008121321,0.07795357753279167,0.5366246671416846,0.11059106467995121,0.38497134795797777
1.1,1.3764553534687958,0.093019817309602,0.3729704858617647,0.08955352710918645,0.3608324929376654,0.09144995505094561,0.5320744770647995,0.0021124069848711124,0.49939290649227536,0.08539603588251687,0.5046622768249512,0.07083145478511545,0.5330775943752527,0.10629325289170632,0.36540143771668837
1.3,1.3638628539716497,0.0813679709952481,0.34318109124640445,0.07524040445871469,0.32640156394153463,0.03180666767381654,0.538723270476532,0.002803085161612552,0.32554148067268185,0.06797891962016821,0.4750967637709249,0.06738016053655718,0.47527256958483904,0.07817301034068108,0.32512438874866645
1.5,1.3673118212354345,0.06688422162644639,0.3144950391107723,0.07130067675611934,0.3138801268684483,0.03458706617347323,0.5080842723172752,0.001190647656434263,0.5588263237844181,0.060682661327465914,0.4767294525623966,0.047900170528818266,0.5057182411698044,0.07071447739649833,0.34948804545198536
1.7,1.4142495681102605,0.06720106245972839,0.31208075277834224,0.06073874320482178,0.2972911131481905,0.035795649213274716,0.5142466355622992,0.0019136840117280546,0.5006334310126594,0.060181370679884674,0.40720268179323627,0.045175529689307006,0.4836143897151528,0.059501778537039626,0.3847721762288909
1.9,1.4039725652997588,0.05783858647884391,0.2881135326088058,0.04893636490636654,0.2638098739624196,0.031060152820384372,0.5210990808990811,0.0016315480193003315,0.26802251708998914,0.03414945468598949,0.4541769722414599,0.029575144009722172,0.48905105419956446,0.06125828746380155,0.2597154548098026
