Sigma,Gamma_Overlap,KMeans_ARI,KMeans_NMI,KC_ARI,KC_NMI,MST_ARI,MST_NMI,Naive_ARI,Naive_NMI,MFC_Approx_ARI,MFC_Approx_NMI,MFC_Optimal_ARI,MFC_Optimal_NMI,MFC_Simple_ARI,MFC_Simple_NMI
0.1,2.0050208280232824,0.19356061101793248,0.7243937137122809,0.12681176596891525,0.6511529221607004,0.24326241786598846,0.801942136901974,0.0026912547454590444,0.7291612888755213,0.24239921146069277,0.7932056873003618,0.23865642308546742,0.8015573719621395,0.266323924405498,0.797796598516584
0.3,2.0305123494358517,0.21278524622424083,0.7230275956717007,0.10422427872129902,0.6248922871719796,0.19850116440662796,0.7901636599442128,0.0018044279715467302,0.7143478745858238,0.20337748769294786,0.790548015502421,0.19423637664617793,0.7912878635748857,0.22631004714203806,0.7876726898223076
0.5,2.0771952089904335,0.1990326028264586,0.703664490729421,0.07603179592142859,0.5995335863340411,0.18404497764732983,0.786143442838951,0.0033804403690475405,0.6691957761266476,0.18590917204913004,0.7825447140986304,0.1837211839236582,0.7851427780127109,0.1895152925521333,0.7771100535300823
0.7,1.9495615166306002,0.1796453441089266,0.6871209355805515,0.07025222332812404,0.5879716548900842,0.16525986769305648,0.7851867771107043,0.0025536969175691104,0.6608050783808119,0.16875148331217407,0.7814896038982264,0.17135156154526826,0.7829932145138535,0.18452574933979968,0.7738073147926002
0.9,2.0679477745834056,0.16000226073362162,0.6537596355407319,0.0602997167019233,0.5683016034752002,0.1325825973153058,0.7760968880461362,0.003059250807832109,0.7167348341111837,0.15828442498027728,0.7807355143963313,0.12781659920116206,0.7742603802647917,0.15132153164825726,0.7734131690472186
1.1,2.327546311752698,0.15904525394367908,0.6444828003574364,0.051223251155903746,0.5514427437045871,0.11968127500400798,0.7757470084027844,0.002190329078586573,0.7463781445267029,0.1486551855764885,0.778466262391675,0.16281057914640026,0.7788305826660575,0.12535386472574156,0.77637652010042
1.3,2.685704463140276,0.14234931482821625,0.634133611112823,0.048925763520702305,0.543034647384678,0.10857184453414802,0.7682209957300514,0.002472483020311551,0.7042377473674521,0.10497461130692932,0.779257317218584,0.11208238816630188,0.7650607553415761,0.11108282919330585,0.7721571789146388
1.5,2.2540781258504303,0.1332794436837216,0.6142491529709136,0.048930532640959694,0.5344540309976946,0.10159266183475449,0.7630814704288039,0.0024759790625430997,0.6896244602482506,0.10823994698384391,0.7624081767244016,0.104230165003544,0.7736588749545943,0.10565875172782896,0.7651330175617217
1.7,2.766968078453898,0.11563715774004947,0.5870668012005623,0.0358461971514573,0.5192232769710962,0.09444040528632455,0.7657434698744487,0.002902360802662784,0.7028565070714364,0.07021112146523986,0.7571320460308752,0.07799026952870015,0.7675185519353155,0.0858860934434883,0.755078202862284
1.9,2.293690156895127,0.11298863869642284,0.5865135051653352,0.04320837553256834,0.5215008309997051,0.08365881033948343,0.7636972467091047,0.0027188740043348632,0.6900602403472712,0.08101468875566169,0.7599259959446507,0.077837971019577,0.7596152014474498,0.07547414064035093,0.7655863137347464
