Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.1878117,0.2559764,32.8425174,0.0074122,3.644005,19.957394800000003,3.5557286
0.3,0.3059513,0.2406773,33.2203404,0.0065812,2.8833503,19.7334804,2.9048668
0.5,0.4446606,0.234862,32.9214294,0.0063807,3.7631316,20.092416,3.6646287
0.7,0.4146998,0.2382046,33.1429386,0.0068437,3.7990348,20.3000331,3.673174
0.9,0.6579854,0.2410404,33.0082153,0.0063814,3.4829044000000002,20.1801766,3.3526761
1.1,0.4565028,0.2467038,33.0688028,0.0065178,3.6151689,20.389886999999998,3.3135606
1.3,0.6366771,0.2381531,32.9050006,0.0070677,4.3207936,20.685901400000002,4.4775317999999995
1.5,0.5415953,0.2367247,33.2039434,0.0068328,3.285739,20.4148459,3.1729914
