Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.0019652,0.0004057,0.1287804,0.0001928,0.030670199999999998,0.029133799999999998,0.0239225
0.3,0.0021228,0.000405,0.1294569,0.0002088,0.019001499999999998,0.028192599999999998,0.0162612
0.5,0.0023881,0.0004303,0.1335261,0.0002252,0.0145872,0.02639,0.0125719
0.7,0.0024257,0.0004111,0.1264874,0.0002227,0.0253792,0.0317144,0.0197945
0.9,0.0021844,0.00041,0.1263841,0.0001948,0.0248968,0.030752,0.0212484
1.1,0.0027875,0.000482,0.2871713,0.0002211,0.0287169,0.040265800000000004,0.027604899999999998
1.3,0.0027542,0.0004141,0.1344377,0.000264,0.0169399,0.0269565,0.0145
1.5,0.0048209,0.0004111,0.2849602,0.0002132,0.0278193,0.0370922,0.048947
1.7,0.0020862,0.0004151,0.2639967,0.0002136,0.0273341,0.0355024,0.042564700000000004
1.9,0.0026734,0.0004222,0.2904544,0.0002013,0.0288785,0.034311299999999996,0.024236
