Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.016538,0.0125295,0.0750916,0.0001688,0.0336093,0.0293089,0.0236687
0.3,0.0167739,0.0117169,0.0743568,0.0001715,0.027836600000000003,0.0285484,0.0213588
0.5,0.0135642,0.0114415,0.0718483,0.0001804,0.02936,0.0305703,0.021810700000000002
0.7,0.0128416,0.0118207,0.0744716,0.0002106,0.0286624,0.0289811,0.0214848
0.9,0.0148996,0.0102621,0.0843113,0.000165,0.028852199999999998,0.0280249,0.0203342
1.1,0.0125465,0.0107278,0.0759361,0.0002099,0.027331599999999998,0.028627,0.0209541
1.3,0.0134387,0.0103438,0.0740608,0.0001713,0.0271167,0.0284214,0.0197629
1.5,0.0137666,0.0105296,0.0767803,0.0001648,0.0277853,0.0274753,0.019847200000000002
1.7,0.0113905,0.0105272,0.0749852,0.0001875,0.0284319,0.0279989,0.020333900000000002
1.9,0.0122763,0.0108334,0.077036,0.0001413,0.0282716,0.0279368,0.020489300000000002
