Sigma,KMeans_runtime,KC_runtime,MST_runtime,Naive_runtime,MFC_Approx_runtime,MFC_Optimal_runtime,MFC_Simple_runtime
0.1,0.3959208,0.0702727,17.5819122,0.0037012,1.0078589,2.6640275,1.0688227000000001
0.3,0.6543382,0.0706498,17.5568991,0.0033768,0.8855946,2.507699,0.8361662
0.5,0.5474078,0.0754131,17.941106,0.0037603,0.6000617,2.0816463,0.5507183
0.7,0.8001239,0.0792712,18.0914334,0.0046303,0.5481498,1.8185727999999999,0.4898531
0.9,0.6390673,0.0764853,18.4050974,0.0037139,0.8513741,2.4131139,0.8232609
1.1,0.6310454,0.0711421,17.1668916,0.0034607,0.5124633000000001,1.7087249,0.3380683
1.3,0.7284977,0.0708537,17.1710679,0.0034241,0.5005586,1.7852173,0.4815208
1.5,0.8242144,0.0716377,17.2821024,0.0034092,0.9200981,2.67823,0.8994484
